source,target,distance,source_StarClass,source_Sub_Class,source_quadrant,source_gravitational_force,source_rarity_score,target_StarClass,target_Sub_Class,target_quadrant,target_gravitational_force,target_rarity_score
AAAAAAABJQEAAAAAAAEk0g,AAAAAAABJQ8AAAAAAAEk0Q,15,K,dwarf,4,7160.813968291279,1.0,K,dwarf,4,33808.237084203654,1.0
AAAAAAABJQQAAAAAAAEk3w,AAAAAAABJQ8AAAAAAAEk4A,12,K,dwarf,4,82634.82675236474,1.0,K,dwarf,4,87442.56940980998,1.0
AAAAAAABJQ8AAAAAAAEk0Q,AAAAAAABJQ8AAAAAAAEk4A,15,K,dwarf,4,33808.237084203654,1.0,K,dwarf,4,87442.56940980998,1.0
AAAAAAABJQ8AAAAAAAEk0Q,AAAAAAABJRQAAAAAAAEk1g,10,K,dwarf,4,33808.237084203654,1.0,K,dwarf,4,8785.071383028564,1.0
AAAAAAABJRQAAAAAAAEkyg,AAAAAAABJSIAAAAAAAEk1Q,25,K,dwarf,4,24495.812410605817,1.0,F,dwarf,4,125116.89297864816,1.0
AAAAAAABJU8AAAAAAAEkcQ,AAAAAAABJV8AAAAAAAEkoA,63,K,dwarf,4,2850.7357774404345,1.0,G,dwarf,4,9732.272783582384,1.0
AAAAAAABJUQAAAAAAAEkiQ,AAAAAAABJV8AAAAAAAEkoA,50,K,dwarf,4,4206.457062832011,1.0,G,dwarf,4,9732.272783582384,1.0
AAAAAAABJQoAAAAAAAEk3Q,AAAAAAABJQ8AAAAAAAEk4A,8,K,dwarf,4,72178.78652736181,1.0,K,dwarf,4,87442.56940980998,1.0
AAAAAAABJWEAAAAAAAEkYw,AAAAAAABJV8AAAAAAAEkoA,63,K,dwarf,4,3556.5909825576346,1.0,G,dwarf,4,9732.272783582384,1.0
AAAAAAABJRkAAAAAAAEkzA,AAAAAAABJSIAAAAAAAEk1Q,18,K,dwarf,4,25986.73712824777,1.0,F,dwarf,4,125116.89297864816,1.0
AAAAAAABJTIAAAAAAAEksw,AAAAAAABJSIAAAAAAAEk1Q,50,K,dwarf,4,10929.354437125468,1.0,F,dwarf,4,125116.89297864816,1.0
AAAAAAABJVwAAAAAAAEkgw,AAAAAAABJV8AAAAAAAEkoA,32,G,dwarf,4,5613.063753058023,1.0,G,dwarf,4,9732.272783582384,1.0
AAAAAAABJQUAAAAAAAEk6A,AAAAAAABJREAAAAAAAEk6A,12,M,dwarf,4,38744.72868827114,1.0,K,dwarf,4,192105.97988925825,1.0
AAAAAAABJRsAAAAAAAEk0Q,AAAAAAABJSIAAAAAAAEk1Q,11,K,dwarf,4,51343.79747706459,1.0,F,dwarf,4,125116.89297864816,1.0
AAAAAAABJQ8AAAAAAAEk4A,AAAAAAABJSIAAAAAAAEk1Q,30,K,dwarf,4,87442.56940980998,1.0,F,dwarf,4,125116.89297864816,1.0
AAAAAAABJQ8AAAAAAAEk4A,AAAAAAABJRMAAAAAAAEk4w,7,K,dwarf,4,87442.56940980998,1.0,G,dwarf,4,111290.109804074,0.5
AAAAAAABJQ8AAAAAAAEk4A,AAAAAAABJRMAAAAAAAEk5A,8,K,dwarf,4,87442.56940980998,1.0,G,dwarf,4,120665.33896910008,0.5
AAAAAAABJQ8AAAAAAAEk4A,AAAAAAABJREAAAAAAAEk6A,10,K,dwarf,4,87442.56940980998,1.0,K,dwarf,4,192105.97988925825,1.0
AAAAAAABJWcAAAAAAAEkhA,AAAAAAABJV8AAAAAAAEkoA,36,K,dwarf,4,5823.957422556148,1.0,G,dwarf,4,9732.272783582384,1.0
AAAAAAABJU0AAAAAAAEkqQ,AAAAAAABJV0AAAAAAAEkrw,22,K,dwarf,4,8039.499460334528,1.0,K,dwarf,4,14450.476500892426,1.0
